nu (GHz),0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75,8.0,8.25,8.5,8.75,9.0,9.25,9.5,9.75,10.0
2.5,180.752,180.914,181.084,181.26,181.443,181.632,181.828,182.032,182.242,182.458,182.682,182.912,183.15,183.394,183.644,183.902,184.166,184.437,184.715,185.0,185.292,185.59,185.895,186.207,186.525,186.851,187.183,187.522,187.868,188.22,188.579,188.945,189.318,189.697,190.084,190.477,190.876,191.283,191.696,192.116,192.543
2.6,182.826,183.004,183.188,183.38,183.579,183.786,184.0,184.221,184.449,184.685,184.929,185.179,185.438,185.703,185.976,186.256,186.544,186.838,187.141,187.45,187.767,188.092,188.423,188.762,189.109,189.462,189.824,190.192,190.568,190.95,191.341,191.739,192.144,192.556,192.975,193.402,193.836,194.278,194.727,195.183,195.646
2.7,184.891,185.084,185.284,185.492,185.707,185.931,186.163,186.402,186.65,186.906,187.169,187.441,187.721,188.008,188.304,188.607,188.918,189.238,189.565,189.9,190.244,190.595,190.954,191.321,191.696,192.079,192.47,192.868,193.275,193.69,194.112,194.543,194.981,195.427,195.881,196.343,196.813,197.291,197.776,198.27,198.771
2.8,186.946,187.154,187.371,187.595,187.828,188.07,188.32,188.579,188.846,189.123,189.407,189.7,190.002,190.313,190.632,190.96,191.296,191.64,191.994,192.356,192.726,193.105,193.493,193.889,194.294,194.707,195.129,195.559,195.998,196.445,196.901,197.365,197.838,198.32,198.809,199.308,199.815,200.33,200.854,201.386,201.927
2.9,188.993,189.217,189.45,189.693,189.944,190.204,190.474,190.753,191.041,191.338,191.645,191.961,192.286,192.621,192.964,193.317,193.679,194.05,194.431,194.82,195.219,195.627,196.045,196.471,196.907,197.352,197.806,198.269,198.741,199.222,199.713,200.213,200.722,201.24,201.767,202.303,202.848,203.403,203.966,204.539,205.121
3.0,191.032,191.273,191.524,191.785,192.055,192.335,192.625,192.925,193.235,193.554,193.884,194.224,194.573,194.933,195.302,195.681,196.07,196.469,196.878,197.296,197.725,198.163,198.612,199.07,199.537,200.015,200.503,201.0,201.507,202.024,202.551,203.087,203.634,204.19,204.756,205.331,205.917,206.512,207.117,207.732,208.356
3.1,193.064,193.323,193.592,193.872,194.162,194.462,194.774,195.096,195.428,195.771,196.125,196.489,196.864,197.25,197.646,198.052,198.47,198.897,199.336,199.784,200.244,200.714,201.194,201.685,202.186,202.698,203.221,203.754,204.297,204.851,205.416,205.99,206.576,207.172,207.778,208.394,209.021,209.659,210.307,210.965,211.634
3.2,195.088,195.366,195.655,195.955,196.266,196.588,196.921,197.266,197.622,197.99,198.368,198.759,199.16,199.573,199.997,200.432,200.878,201.336,201.805,202.285,202.777,203.28,203.794,204.319,204.855,205.403,205.962,206.532,207.113,207.705,208.308,208.923,209.549,210.186,210.834,211.493,212.163,212.845,213.537,214.241,214.956
3.3,197.107,197.404,197.713,198.034,198.367,198.711,199.068,199.437,199.818,200.211,200.616,201.033,201.462,201.903,202.356,202.821,203.298,203.787,204.288,204.801,205.326,205.863,206.412,206.973,207.545,208.13,208.727,209.335,209.956,210.588,211.232,211.888,212.556,213.236,213.927,214.63,215.346,216.073,216.811,217.562,218.324
3.4,199.12,199.438,199.768,200.111,200.466,200.834,201.215,201.609,202.016,202.435,202.868,203.313,203.77,204.241,204.725,205.221,205.73,206.251,206.786,207.333,207.893,208.465,209.05,209.648,210.259,210.882,211.518,212.167,212.828,213.502,214.188,214.887,215.598,216.323,217.059,217.809,218.57,219.345,220.132,220.931,221.743
3.5,201.127,201.466,201.819,202.185,202.564,202.957,203.363,203.783,204.217,204.664,205.125,205.599,206.088,206.589,207.104,207.633,208.175,208.73,209.3,209.882,210.479,211.088,211.711,212.348,212.998,213.661,214.338,215.028,215.731,216.448,217.178,217.922,218.679,219.449,220.233,221.03,221.84,222.664,223.5,224.35,225.214
